Date/Time,Total_Demand_kWh,Aircon_kWh,Plugs_kWh,Lighting_kWh,Other_kWh
9/04/2024 7:00,0.7474,0.300591,0.366291,0.068113,0.012405
9/04/2024 8:00,0.6704,0.270248,0.336553,0.049294,0.014305
9/04/2024 9:00,1.1419,0.386634,0.651615,0.074111,0.029539
9/04/2024 10:00,0.1568,0.046283,0.093683,0.01018,0.006654
9/04/2024 11:00,0.1902,0.116993,0.028671,0.024798,0.019738
9/04/2024 12:00,0.4327,0.265849,0.059371,0.052419,0.055061
9/04/2024 13:00,0.4952,0.146772,0.298653,0.024715,0.02506
9/04/2024 14:00,0.7443,0.236888,0.438609,0.036185,0.032618
9/04/2024 15:00,0.4059,0.140577,0.228742,0.019144,0.017436
9/04/2024 16:00,0.4465,0.166915,0.23152,0.022427,0.025638
9/04/2024 17:00,1.3431,0.505482,0.613096,0.091488,0.133033
9/04/2024 18:00,2.6412,0.955245,1.13783,0.220285,0.32784
9/04/2024 19:00,2.2913,0.848015,1.075056,0.232396,0.135832
9/04/2024 20:00,0.5079,0.195189,0.244795,0.057909,0.010006
9/04/2024 21:00,0.4183,0.158875,0.203577,0.049733,0.006115
9/04/2024 22:00,0.5076,0.183008,0.258519,0.05982,0.006253
9/04/2024 23:00,0.3933,0.117209,0.229653,0.040912,0.005527
10/04/2024 0:00,0.2891,0.065679,0.194725,0.024073,0.004623
10/04/2024 1:00,0.1536,0.031473,0.107499,0.01164,0.002989
10/04/2024 2:00,0.1432,0.02873,0.100368,0.010989,0.003113
10/04/2024 3:00,0.1421,0.028802,0.099315,0.010756,0.003227
10/04/2024 4:00,0.141,0.029274,0.097917,0.010539,0.003271
10/04/2024 5:00,0.4098,0.106272,0.262794,0.032288,0.008446
10/04/2024 6:00,0.2204,0.068735,0.12581,0.02163,0.004225
10/04/2024 7:00,0.138,0.055501,0.067632,0.012576,0.00229
10/04/2024 8:00,0.1787,0.072037,0.089711,0.01314,0.003813
10/04/2024 9:00,0.2351,0.079602,0.134158,0.015258,0.006082
10/04/2024 10:00,0.4932,0.145578,0.29467,0.032021,0.020931
10/04/2024 11:00,0.5775,0.355224,0.087052,0.075293,0.059931
10/04/2024 12:00,0.6077,0.373368,0.083383,0.073619,0.077329
10/04/2024 13:00,0.2527,0.074898,0.152402,0.012612,0.012788
10/04/2024 14:00,0.638,0.203056,0.375967,0.031018,0.027959
10/04/2024 15:00,2.1882,0.757851,1.233146,0.103204,0.093999
10/04/2024 16:00,1.4119,0.527809,0.732102,0.070918,0.081071
10/04/2024 17:00,0.6006,0.226039,0.274161,0.040911,0.059489
10/04/2024 18:00,0.4328,0.156531,0.18645,0.036097,0.053721
10/04/2024 19:00,2.2005,0.81441,1.032454,0.223187,0.13045
10/04/2024 20:00,0.8693,0.334077,0.418981,0.099115,0.017127
10/04/2024 21:00,1.0358,0.393408,0.5041,0.12315,0.015142
10/04/2024 22:00,0.5787,0.208642,0.294731,0.068199,0.007128
10/04/2024 23:00,1.2025,0.358361,0.702154,0.125086,0.016898
11/04/2024 0:00,0.3047,0.069223,0.205233,0.025372,0.004872
11/04/2024 1:00,0.6329,0.129681,0.442943,0.04796,0.012316
11/04/2024 2:00,0.4547,0.091226,0.318695,0.034894,0.009885
11/04/2024 3:00,0.5316,0.107751,0.371539,0.040239,0.012072
11/04/2024 4:00,0.412,0.085538,0.286111,0.030794,0.009557
11/04/2024 5:00,0.4466,0.115815,0.286393,0.035187,0.009205
11/04/2024 6:00,0.2443,0.076189,0.139453,0.023976,0.004683
11/04/2024 7:00,0.1337,0.053772,0.065525,0.012184,0.002219
11/04/2024 8:00,0.1461,0.058895,0.073345,0.010743,0.003117
11/04/2024 9:00,0.3161,0.107028,0.18038,0.020515,0.008177
11/04/2024 10:00,0.5641,0.166506,0.337031,0.036624,0.02394
11/04/2024 11:00,1.6443,1.01142,0.24786,0.21438,0.17064
11/04/2024 12:00,0.6338,0.389404,0.086964,0.076781,0.080651
11/04/2024 13:00,0.2534,0.075105,0.152824,0.012647,0.012824
11/04/2024 14:00,0.1118,0.035582,0.065883,0.005435,0.004899
11/04/2024 15:00,0.3578,0.123919,0.201636,0.016875,0.01537
11/04/2024 16:00,1.468,0.548781,0.761191,0.073736,0.084292
11/04/2024 17:00,0.4537,0.170752,0.207104,0.030905,0.044939
11/04/2024 18:00,0.3099,0.112082,0.133505,0.025847,0.038466
11/04/2024 19:00,0.3869,0.143192,0.18153,0.039242,0.022936
11/04/2024 20:00,1.9099,0.733986,0.920524,0.217762,0.037628
11/04/2024 21:00,0.6724,0.255385,0.327241,0.079944,0.00983
11/04/2024 22:00,1.3849,0.499305,0.705326,0.163209,0.017059
11/04/2024 23:00,3.0004,0.894159,1.75197,0.312108,0.042164
12/04/2024 0:00,1.3504,0.306789,0.909571,0.112446,0.021594
12/04/2024 1:00,0.5277,0.108125,0.369318,0.039988,0.010269
12/04/2024 2:00,1.1651,0.233752,0.816608,0.089412,0.025328
12/04/2024 3:00,0.8389,0.170038,0.586313,0.0635,0.01905
12/04/2024 4:00,0.1702,0.035336,0.118194,0.012721,0.003948
12/04/2024 5:00,0.1641,0.042556,0.105233,0.012929,0.003382
12/04/2024 6:00,0.2047,0.063839,0.116848,0.020089,0.003924
12/04/2024 7:00,0.1577,0.063424,0.077287,0.014372,0.002617
12/04/2024 8:00,0.2992,0.120612,0.150204,0.022,0.006384
12/04/2024 9:00,0.3534,0.119657,0.201665,0.022936,0.009142
12/04/2024 10:00,0.3223,0.095133,0.192563,0.020925,0.013678
12/04/2024 11:00,0.4234,0.260436,0.063823,0.055202,0.043939
12/04/2024 12:00,0.5951,0.365627,0.081654,0.072093,0.075726
12/04/2024 13:00,0.5558,0.164733,0.3352,0.02774,0.028127
12/04/2024 14:00,0.936,0.2979,0.551576,0.045505,0.041019
12/04/2024 15:00,0.1911,0.066185,0.107693,0.009013,0.008209
12/04/2024 16:00,0.4098,0.153195,0.212491,0.020584,0.023531
12/04/2024 17:00,3.5285,1.327968,1.610683,0.240352,0.349496
12/04/2024 18:00,0.84,0.303804,0.361872,0.070059,0.104265
12/04/2024 19:00,0.2681,0.099224,0.12579,0.027192,0.015893
12/04/2024 20:00,0.5486,0.21083,0.264412,0.06255,0.010808
12/04/2024 21:00,1.1764,0.44681,0.572526,0.139866,0.017198
12/04/2024 22:00,2.6328,0.949217,1.340879,0.310273,0.032431
12/04/2024 23:00,1.738,0.517947,1.014839,0.18079,0.024424
13/04/2024 0:00,0.2684,0.060976,0.180783,0.022349,0.004292
13/04/2024 1:00,0.2361,0.048377,0.165238,0.017891,0.004594
13/04/2024 2:00,0.2673,0.053628,0.187348,0.020513,0.005811
13/04/2024 3:00,0.1504,0.030485,0.105116,0.011384,0.003415
13/04/2024 4:00,0.1296,0.026907,0.09,0.009687,0.003006
